,F1 Macro (mean),F1 Macro (std),F1 Declined (mean),PR-AUC (mean),ROC-AUC (mean)
v1: Logistic Regression,0.5188,0.0191,0.3033,0.8942,0.6241
v1: LightGBM (Default),0.5657,0.0304,0.28,0.8837,0.6216
v1: LightGBM (Tuned),0.5533,0.0293,0.21,0.886,0.6264
v1: XGBoost,0.5464,0.0348,0.1927,0.8864,0.6205
v2: LR + Emb,0.564,0.018,0.353,0.9106,0.6868
v2: LGB + Emb (Default),0.5954,0.0157,0.2942,0.9007,0.6641
v2: LGB + Emb + SMOTE,0.5792,0.0139,0.255,0.902,0.6718
v2: LGB + Emb (Tuned v2),0.5706,0.0277,0.2307,0.899,0.6664
v2: XGB + Emb,0.5659,0.014,0.2213,0.9008,0.6726
v3: TF-IDF + SVD + LGB,0.5912,0.0232,0.2847,0.9002,0.6731
v3: BiLSTM (text only),0.5511,0.0199,0.2675,0.8744,0.5982
v3: BERT fine-tuned (text),0.603,0.0344,0.3653,0.901,0.6693
v3: BERT hybrid + LGB,0.6077,0.0091,0.3205,0.8978,0.6663
v4: LGB + Struct + LLM,0.6773,0.0156,0.4561,0.9129,0.7316
v4: LGB + LLM Only,0.6418,0.005,0.422,0.9115,0.7192
v4: LGB + Struct + LLM (Tuned),0.6576,0.03,0.3939,0.9211,0.7368
